"","matchID","LeagueColor","League","Date","Finished","Home","Away","FTHG","FTAG","HTHG","HTAG","H.Card","A.Card","HT.matchID","HT.graph1","HT.graph2"
"1","1341466928","#00A8A8","Friendly","2011/07/06 08:00","4","The Strongest","Bolivar","0","0","0","0","0","0","0","1","0"
"2","1341466979","#00A8A8","Friendly","2011/07/06 08:00","4","Jorge Wilstermann","Aurora","2","1","1","1","0","0","0","1","0"
"3","1340849226","#008000","BRA Cup","2011/07/06 08:50","4","Palmeiras","Coritiba","2","0","1","0","1","0","149042","1","0"
"4","1341467258","#00A8A8","Friendly","2011/07/06 09:00","4","Atlas","Pumas","0","1","0","0","0","0","0","1","0"
"5","1341452454","#00A8A8","Friendly","2011/07/06 09:00","4","Club Leon","Mexico U23","1","1","0","0","0","0","0","0","0"
"6","1340248060","#000000","Playoff","2011/07/06 09:00","4","Club Santa Fe","La Equidad","2","1","1","0","0","1","0","0","0"
"7","1340937343","#FF4444","KOR Res","2011/07/06 14:00","4","Ganwon Reserve","Korean Police Reserve","0","4","0","1","0","0","0","1","0"
"8","1339999335","#993333","IDN ISL","2011/07/06 14:20","4","Persidafon Jayapura","PSPS Pekanbaru","2","1","1","1","0","0","0","1","0"
"9","1354521750","#8080FF","CHN D2N","2011/07/06 15:00","4","Hebei Huaxia","Beijing Youth","1","0","0","0","0","0","0","0","0"
"10","1340935213","#585052","FOX Cup","2011/07/06 16:10","4","Bentleigh Greens U21","Richmond U21","1","3","0","2","0","0","0","0","0"
"11","1339999385","#993333","IDN ISL","2011/07/06 16:30","4","Deltras Sidoarjo","Persija Jakarta","1","0","1","0","0","0","0","1","0"
"12","1340000695","#1C5D9D","KAZ D2","2011/07/06 17:00","4","Bayterek Astana","Aq-Bulaq Talgar","1","0","0","0","0","0","0","1","0"
"13","1341474508","#005E5E","AUS NSWP","2011/07/06 18:00","4","Rockdale City Suns","PCYC Parramatta Eagles","1","0","0","0","0","0","0","1","0"
"14","1339991650","#00B55A","AUS VPL","2011/07/06 18:15","4","Bentleigh Greens","Richmond","0","1","0","1","0","0","0","1","0"
"15","1340937462","#1ba578","AUS WVPL","2011/07/06 18:30","4","Box Hill Women","Casey Comets Women","2","1","1","0","0","0","0","1","0"
"16","1341022403","#FF99c0","SIN Cup","2011/07/06 19:45","4","Tampines Rovers","Albirex Niigata(S)","2","0","1","0","0","0","0","0","0"
"17","1340008369","#6699ff","CHN PR","2011/07/06 19:45","4","Shanghai Shenxin","Guangzhou Hengda","1","1","0","0","0","0","143770","1","2"
"18","1341532932","#400000","Beach","2011/07/06 20:00","4","Poland Beach Soccer","Hungary Beach Soccer","7","3","0","0","0","0","0","1","0"
"19","1341573496","#00A8A8","Friendly","2011/07/06 20:00","4","Sportfreunde Siegen","FSV Frankfurt II","1","3","0","1","0","0","0","1","0"
"20","1340000941","#44A2A0","LIT D2","2011/07/06 20:00","4","Klaipedos Granitas","Palanga","2","1","1","1","0","0","0","1","0"
"21","1340000780","#1C5D9D","KAZ D2","2011/07/06 20:00","4","Kyzylzhar Petropavlovsk","Bulat Temirtau","3","3","3","1","0","0","0","0","0"
"22","1340000031","#1C5D9D","KAZ D2","2011/07/06 20:00","4","CSKA Almaty","Ili-Saulet Iliyskiy","1","1","0","0","0","0","0","1","0"
"23","1340000087","#1C5D9D","KAZ D2","2011/07/06 20:00","4","BIIK Shymkent","Kairat Academy","1","2","0","1","0","0","0","1","0"
"24","1339999861","#1C5D9D","KAZ D2","2011/07/06 20:00","4","Vostok Oskemen","Ekibastuz","1","1","1","1","0","0","0","1","0"
"25","1339999842","#1C5D9D","KAZ D2","2011/07/06 20:00","4","Spartak Semey","FK Astana-64","0","4","0","3","0","0","0","1","0"
"26","1340001354","#FF9966","MAS PL","2011/07/06 20:45","4","Johor Darul Takzim II","USM Staf","4","0","2","0","0","0","0","0","0"
"27","1340001525","#FF9966","MAS PL","2011/07/06 20:45","4","Harimau Muda B","NS Betaria","3","0","0","0","0","0","0","1","0"
"28","1340001222","#FF9966","MAS PL","2011/07/06 20:45","4","Sime Darby","PDRM","3","0","0","0","0","0","0","1","0"
"29","1340001596","#FF9966","MAS PL","2011/07/06 20:45","4","Perlis","Johor MBJB","4","0","0","0","0","0","0","1","0"
"30","1340001567","#FF9966","MAS PL","2011/07/06 20:45","4","ATM","Majlis Perbandaran Muar","8","1","3","0","0","0","0","1","0"
"31","1340001543","#FF9966","MAS PL","2011/07/06 20:45","4","Pahang","DRB-Hicom","3","1","1","0","0","0","0","1","0"
"32","1341472253","#6699ff","YEM D1","2011/07/06 21:00","4","Al Wahda Aden","Al Oruba Zabid","1","1","0","0","0","0","0","1","0"
"33","1341472160","#6699ff","YEM D1","2011/07/06 21:00","4","Ittihad Ibb","Shaab Ibb","1","1","0","0","1","0","0","1","0"
"34","1341472144","#6699ff","YEM D1","2011/07/06 21:00","4","Shabab Al Baydaa","Shaab Hadramaut","1","2","1","0","0","0","0","1","0"
"35","1341472219","#6699ff","YEM D1","2011/07/06 21:00","4","Shaab Sanaa","Al Tilal Aden","1","2","1","2","0","0","0","1","0"
"36","1341472195","#6699ff","YEM D1","2011/07/06 21:00","4","Shula Aden","Ahli Taiz","1","1","1","1","0","0","0","1","0"
"37","1341472080","#6699ff","YEM D1","2011/07/06 21:00","4","Ahli Sanaa","Najm Sba","3","0","2","0","0","0","0","1","0"
"38","1341472111","#6699ff","YEM D1","2011/07/06 21:00","4","Al Hilal Al Sahely Hudaydah","Taliya Taiz","1","2","1","1","0","0","0","1","0"
"39","1339999985","#1C5D9D","KAZ D2","2011/07/06 21:00","4","Aktobe-Zhas","Lashyn Taraz","0","1","0","0","0","0","0","1","0"
"40","1341532979","#400000","Beach","2011/07/06 21:15","4","France Beach Soccer","Belarus Beach Soccer","5","5","0","0","0","0","0","1","0"
"41","1339998857","#790000","UEFA YC","2011/07/06 21:30","4","France U19","Croatia U19","1","0","0","0","0","0","0","1","0"
"42","1339998884","#790000","UEFA YC","2011/07/06 22:00","4","Estonia U19","Greece U19","1","4","0","1","0","0","0","1","0"
"43","1340759728","#6F8507","Arab YC","2011/07/06 22:00","4","Iraq U20","Syria U20","2","2","1","1","0","0","0","1","0"
"44","1341534226","#00A8A8","Friendly","2011/07/06 22:00","4","FK Odesa","Helios Kharkov","2","4","2","1","0","0","0","0","0"
"45","1341553636","#00A8A8","Friendly","2011/07/06 22:00","4","Elazigspor","Saba Qom","0","5","0","1","0","0","0","0","0"
"46","1340849569","#008000","IRQ D1","2011/07/06 22:00","4","Baghdad","At Taji","1","0","0","0","0","0","0","0","0"
"47","1340849654","#008000","IRQ D1","2011/07/06 22:00","4","Al Sharqat","Al Minaa Basra","1","1","0","0","0","0","0","0","0"
"48","1340760712","#008000","IRQ D1","2011/07/06 22:00","4","Al Najaf","Zakho","0","0","0","0","0","0","0","0","0"
"49","1340849544","#008000","IRQ D1","2011/07/06 22:00","4","Kahrabaa","Karbalaa","1","1","1","0","0","0","0","0","0"
"50","1340000002","#1C5D9D","KAZ D2","2011/07/06 22:00","4","Caspiy Aktau","Kyran Shymkent","1","2","1","0","0","0","0","0","0"
"51","1341533073","#400000","Beach","2011/07/06 22:30","4","Russia Beach Soccer","Netherlands Beach Soccer","2","1","0","0","0","0","0","1","0"
"52","1339998905","#790000","UEFA YC","2011/07/06 22:30","4","Serbia U19","England U19","1","2","0","1","0","0","0","1","0"
"53","1341534628","#00A8A8","Friendly","2011/07/06 23:00","4","First Vienna","Ujpest","2","3","1","2","0","0","0","1","0"
"54","1341391955","#00A8A8","Friendly","2011/07/06 23:00","4","Cherno More","Kaliakra","6","1","2","0","0","0","0","1","0"
"55","1340936977","#00A8A8","Friendly","2011/07/06 23:00","4","Leverkusen","MSV Duisburg","5","1","4","1","0","0","0","1","0"
"56","1341534690","#00A8A8","Friendly","2011/07/06 23:00","4","Botev Plovdiv","Vidima-Rakovski","2","0","0","0","0","0","0","1","0"
"57","1340001671","#A0A0A0","NOR D2A2","2011/07/06 23:30","4","Levanger","Molde B","2","2","0","1","0","0","0","1","0"
"58","1341533028","#400000","Beach","2011/07/06 23:45","4","Ukraine  Beach Soccer","Spain Beach Soccer","4","4","0","0","0","0","0","1","0"
"59","1341536194","#00A8A8","Friendly","2011/07/06 23:59","4","Sonnenhof Grossaspach","1860 Munchen II","4","1","2","0","0","0","0","0","0"
"60","1341534786","#00A8A8","Friendly","2011/07/06 23:59","4","Koln II","Fortuna Koln","1","1","1","0","0","0","0","0","0"
"61","1341534248","#00A8A8","Friendly","2011/07/06 23:59","4","Ruch Chorzow","Karpaty Lviv","1","3","0","0","0","0","0","1","0"
"62","1341392314","#00A8A8","Friendly","2011/07/06 23:59","4","GFCO Ajaccio","Bastia","1","5","0","4","0","0","0","1","0"
"63","1341591098","#00A8A8","Friendly","2011/07/06 23:59","4","Dunakanyar-Vac","Maccabi Netanya","0","3","0","2","0","0","0","0","0"
"64","1341535914","#00A8A8","Friendly","2011/07/06 23:59","4","Jahn Regensburg","Wehen","1","1","1","1","0","0","0","1","0"
"65","1341391938","#00A8A8","Friendly","2011/07/06 23:59","4","CFR Cluj","Viktoria Plzen","1","3","0","3","0","0","0","1","0"
"66","1341553926","#00A8A8","Friendly","2011/07/06 23:59","4","Eendracht Termien","Genk","2","4","2","2","0","0","0","1","0"
"67","1341534971","#00A8A8","Friendly","2011/07/06 23:59","4","Monaco","Dynamo Kyiv","1","0","0","0","0","1","0","1","0"
"68","1341536079","#00A8A8","Friendly","2011/07/06 23:59","4","Anorthosis","Petrolul Ploiesti","0","0","0","0","0","0","0","1","0"
"69","1341554970","#00A8A8","Friendly","2011/07/06 23:59","4","Mexico U20","Canada U20","3","0","2","0","0","0","0","0","0"
"70","1341553998","#00A8A8","Friendly","2011/07/06 23:59","4","Vojvodina","Kobenhavn","2","2","1","0","0","0","0","0","0"
"71","1340001695","#A0A0A0","NOR D2A2","2011/07/06 23:59","4","Aalesund II","Fyllingsdalen","0","2","0","2","0","0","0","1","0"
"72","1340001716","#A0A0A0","NOR D2A2","2011/07/06 23:59","4","Kristiansund BK","Rosenborg B","4","0","1","0","0","0","0","1","0"
"73","1341536114","#00A8A8","Friendly","2011/07/07 00:30","4","Rnk Split","GOSK Gabela","2","0","1","0","0","0","0","0","0"
"74","1340937003","#00A8A8","Friendly","2011/07/07 00:30","4","Meuselwitz","Dynamo Dresden","0","4","0","1","0","0","0","1","0"
"75","1341536249","#00A8A8","Friendly","2011/07/07 00:30","4","Bellinzona","Luzern","1","1","0","1","0","0","0","1","0"
"76","1341554099","#00A8A8","Friendly","2011/07/07 00:30","4","TSV 1860 Rosenheim","Hamburger","1","1","1","0","0","0","0","1","0"
"77","1341554136","#00A8A8","Friendly","2011/07/07 00:30","4","Altach","Dornbirn","1","1","1","0","0","0","0","1","0"
"78","1341554171","#00A8A8","Friendly","2011/07/07 00:30","4","Treibach","Wolfsberger AC","1","9","1","5","0","0","0","0","0"
"79","1341536306","#00A8A8","Friendly","2011/07/07 00:30","4","Erzgebirge Aue","Hallescher","1","3","1","1","0","0","0","1","0"
"80","1340001926","#959595","NOR D2A3","2011/07/07 00:30","4","Brann B","Flekkeroy","2","1","2","0","0","0","0","1","0"
"81","1341533884","#00A8A8","Friendly","2011/07/07 00:40","4","Partizan Beograd","Videoton","2","2","0","2","0","0","0","1","0"
"82","1339998970","#790000","UEFA YC","2011/07/07 01:00","4","Portugal U19","Spain U19","3","3","2","2","0","0","0","1","0"
"83","1341024695","#6F8507","Arab YC","2011/07/07 01:00","4","Sudan U17","Saudi Arabia U17","1","4","1","0","1","0","0","1","0"
"84","1340002280","#00A8A8","Friendly","2011/07/07 01:00","4","Club Brugge","Tubize","3","0","2","0","0","0","0","1","0"
"85","1341211980","#00A8A8","Friendly","2011/07/07 01:00","4","Ried","APOEL","2","3","0","2","0","0","0","1","0"
"86","1341537958","#00A8A8","Friendly","2011/07/07 01:00","4","Red Star","Moulins","3","2","1","1","0","0","0","1","0"
"87","1340937051","#00A8A8","Friendly","2011/07/07 01:00","4","Darmstadt 98","FSV Frankfurt","0","2","0","1","0","0","0","1","0"
"88","1340002255","#00A8A8","Friendly","2011/07/07 01:00","4","SV Ramlingen Ehlershausen","Hannover 96","1","6","1","2","0","0","0","0","0"
"89","1340937158","#00A8A8","Friendly","2011/07/07 01:00","4","Arminia Bielefeld","Braunschweig","1","0","0","0","0","0","0","1","0"
"90","1341536678","#00A8A8","Friendly","2011/07/07 01:00","4","Sportfreunde Lotte","Osnabruck","3","1","1","1","0","0","0","1","0"
"91","1340935466","#00A8A8","Friendly","2011/07/07 01:00","4","Wolfsburg","Odense","2","1","1","0","0","0","0","1","0"
"92","1341536626","#00A8A8","Friendly","2011/07/07 01:00","4","Superfund Pasching","BW Linz","0","3","0","1","0","0","0","0","0"
"93","1341554223","#00A8A8","Friendly","2011/07/07 01:00","4","Eintracht Trier","Aachen","1","0","0","0","0","0","0","0","0"
"94","1341554671","#00A8A8","Friendly","2011/07/07 01:00","4","Rouen","Orleans","1","0","0","0","0","0","0","1","0"
"95","1341469885","#00D500","SUD PR","2011/07/07 01:00","4","Al-Hilal Omdurman","Ahli Shandi","4","1","3","1","0","0","0","0","0"
"96","1340001744","#A0A0A0","NOR D2A2","2011/07/07 01:00","4","Buvik","Fana Fotball","2","6","2","2","0","0","0","1","0"
"97","1340003752","#FF8144","ECU D1","2011/07/07 01:00","4","Deportivo Quito","Macara","3","0","2","0","0","0","0","1","0"
"98","1340759267","#FF0080","ANG D1","2011/07/07 01:00","4","Benfica Luanda","Nacional Benguela","2","0","0","0","0","0","0","0","0"
"99","1340759787","#6F8507","Arab YC","2011/07/07 01:30","4","Morocco U20","Tunisia U20","1","2","0","1","0","0","0","1","0"
"100","1340002331","#00A8A8","Friendly","2011/07/07 01:45","4","Cercle Brugge","Mons","2","2","1","1","0","0","0","1","0"
"101","1341388812","#5E5E02","Arab Cup","2011/07/07 02:00","4","Libya","Morocco","1","1","0","1","0","0","0","1","2"
"102","1341537633","#00A8A8","Friendly","2011/07/07 02:00","4","Wigry Suwalki","Widzew lodz","0","3","0","1","0","0","0","1","0"
"103","1339999220","#89A321","ICE D2","2011/07/07 02:00","4","Dalvik Reynir","Grotta","1","0","0","0","0","0","0","1","0"
"104","1341537300","#00A8A8","Friendly","2011/07/07 02:40","4","Siroki Brijeg","Zadar","2","1","1","1","0","0","0","1","0"
"105","1341534987","#00A8A8","Friendly","2011/07/07 02:45","4","Elgin","Cowdenbeath","3","3","3","1","0","0","0","0","0"
