"","matchID","LeagueColor","League","Date","Finished","Home","Away","FTHG","FTAG","HTHG","HTAG","H.Card","A.Card","HT.matchID","HT.graph1","HT.graph2"
"1","1378607151","#0B4375","SLV D1","2011/09/08 08:00","4","Santa Tecla","CD UES","2","0","0","0","0","0","0","0","0"
"2","1377935782","#1ba578","MEX D1","2011/09/08 08:00","4","Pachuca","Pumas","0","0","0","0","0","0","165381","1","0"
"3","1377935796","#1ba578","MEX D1","2011/09/08 08:00","4","Atlante","Morelia","2","2","1","1","0","0","165383","1","0"
"4","1377935762","#1ba578","MEX D1","2011/09/08 08:00","4","Tigres","Chivas Guadalajara","3","3","0","1","0","0","165380","1","0"
"5","1377763277","#D200D2","COL D2","2011/09/08 08:00","4","Leones FC","Real Santander","2","2","2","0","0","0","0","1","0"
"6","1377835062","#009933","BRA D2","2011/09/08 08:00","4","Sport Club Recife","Icasa/CE","0","2","0","2","0","1","0","1","0"
"7","1377835123","#009933","BRA D2","2011/09/08 08:00","4","Parana","ABC Natal/RN","1","0","1","0","0","0","0","1","0"
"8","1377935712","#004d00","BRA D1","2011/09/08 08:00","4","Gremio","Portuguesa","3","2","0","0","0","2","159223","1","0"
"9","1377935923","#660033","USA MLS","2011/09/08 08:30","4","Sporting Kansas City","Columbus Crew","3","0","2","0","0","0","158133","1","0"
"10","1377935911","#660033","USA MLS","2011/09/08 08:30","4","FC Dallas","Vancouver Whitecaps","3","1","1","1","0","0","158131","1","0"
"11","1377834900","#9D6293","COL D1","2011/09/08 08:45","4","Atletico Nacional","Deportes Quindio","2","1","1","0","0","0","0","1","0"
"12","1378607288","#0B4375","SLV D1","2011/09/08 09:00","4","CD FAS","Atletico Marte","0","1","0","0","0","0","0","0","0"
"13","1378607246","#0B4375","SLV D1","2011/09/08 09:00","4","Aguila","CD Dragon","2","0","1","0","0","0","0","0","0"
"14","1377593750","#33C56C","JAP WD2","2011/09/08 09:00","4","Nittaidai Fields Yokohama Women","Ehime Women","2","3","2","1","0","0","0","0","0"
"15","1377935814","#1ba578","MEX D1","2011/09/08 09:00","4","Club Leon","Chiapas FC","0","1","0","1","0","0","165384","1","0"
"16","1378104899","#F75000","HON D1","2011/09/08 09:00","4","CD Olimpia","CD Victoria La Ceiba","2","1","2","0","0","0","0","0","0"
"17","1377834990","#F75000","HON D1","2011/09/08 09:00","4","CDYS Vida","Real Sociedad(HON)","2","2","1","1","1","0","0","0","0"
"18","1377763192","#D200D2","COL D2","2011/09/08 09:00","4","Cortulua","Fortaleza","1","1","1","0","0","0","0","1","0"
"19","1378631614","#00A8A8","Friendly","2011/09/08 10:00","4","Matsumoto Yamaga","Vanforre Kofu","1","0","1","0","0","0","0","1","0"
"20","1377833929","#33C56C","JAP WD2","2011/09/08 10:00","4","Japan Soccer College Women","Hoyo Sukarabu Women","2","0","0","0","0","0","0","0","0"
"21","1377935832","#1ba578","MEX D1","2011/09/08 10:00","4","Atlas","Santos Laguna","2","2","1","0","0","0","165385","1","0"
"22","1377935938","#660033","USA MLS","2011/09/08 10:00","4","Seattle Sounders","Chicago Fire","2","1","1","1","0","0","158135","1","0"
"23","1377413353","#1ba578","MEX D1","2011/09/08 10:30","4","Club Tijuana","Veracruz","3","0","2","0","0","0","165377","1","0"
"24","1377935956","#660033","USA MLS","2011/09/08 10:30","4","Los Angeles Galaxy","Colorado Rapids","0","1","0","0","0","0","158157","1","0"
"25","1377833948","#33C56C","JAP WD2","2011/09/08 11:00","4","Shimizu Daihachi Women","Fukuoka Anclas Women","2","4","2","2","0","0","0","0","0"
"26","1377935971","#660033","USA MLS","2011/09/08 11:00","4","Portland Timbers","Toronto FC","4","0","1","0","0","0","158159","1","0"
"27","1378261365","#003300","JAP Cup","2011/09/08 12:00","4","Gainare Tottori","Giravanz Kitakyushu","0","2","0","0","0","0","170185","1","0"
"28","1378264416","#003300","JAP Cup","2011/09/08 12:00","4","Yokohama","Zwiegen Kanazawa","0","1","0","1","0","0","170192","1","0"
"29","1378264385","#003300","JAP Cup","2011/09/08 12:00","4","Shonan Bellmare","Ryukyu","4","0","3","0","0","0","170244","1","0"
"30","1378264450","#003300","JAP Cup","2011/09/08 12:00","4","Oita Trinita","Verspah Oita","2","0","2","0","0","0","170261","0","0"
"31","1378264432","#003300","JAP Cup","2011/09/08 12:00","4","Sagan Tosu","Saga University","10","0","6","0","0","0","0","0","0"
"32","1378264480","#003300","JAP Cup","2011/09/08 12:00","4","Vissel Kobe","Nara Club","3","1","2","0","0","0","0","0","0"
"33","1377593669","#33C56C","JAP WD2","2011/09/08 12:00","4","Asahina Women","Sakai Osaka Women","0","5","0","1","0","0","0","0","0"
"34","1377848077","#33C5CC","JAP WD1","2011/09/08 12:00","4","Vegalta Sendai Women","Kibi University Women","4","0","1","0","0","0","0","1","0"
"35","1377848095","#33C5CC","JAP WD1","2011/09/08 12:00","4","Beleza Women","Takatsuki Women","3","1","2","0","0","0","0","1","0"
"36","1377593694","#33C56C","JAP WD2","2011/09/08 12:30","4","JFA Academy Women","Bunnys Kyoto Women","2","2","1","0","0","0","0","0","0"
"37","1378592666","#74D876","AUS VCup","2011/09/08 13:00","4","Dandenong Thunder","Green Gully Cavaliers","1","3","0","1","0","0","0","1","0"
"38","1378261389","#003300","JAP Cup","2011/09/08 13:00","4","Fagiano Okayama","Gifu","2","1","2","0","0","1","170186","1","0"
"39","1377845650","#035F31","AUS BCC","2011/09/08 13:00","4","Logan Lightning","Peninsula Power","0","2","0","1","0","0","0","1","0"
"40","1378616721","#00A8A8","Friendly","2011/09/08 13:00","4","Uzbekistan U19","Japan U18","2","2","1","1","0","1","0","1","0"
"41","1378455613","#000000","Playoff","2011/09/08 13:00","4","Canberra FC","Belconnen United","4","0","2","0","0","0","0","0","0"
"42","1378455452","#000000","Playoff","2011/09/08 13:00","4","Campbelltown City","Cumberland United FC","1","1","0","0","0","0","0","1","0"
"43","1378455955","#000000","Playoff","2011/09/08 13:30","4","Sydney United","Rockdale City Suns","2","2","1","0","0","0","0","1","0"
"44","1378264560","#003300","JAP Cup","2011/09/08 14:00","4","Cerezo Osaka","Kansai University","4","0","1","0","0","0","0","0","0"
"45","1378264530","#003300","JAP Cup","2011/09/08 14:00","4","Gamba Osaka","Imabari","5","0","1","0","0","0","0","0","0"
"46","1378264510","#003300","JAP Cup","2011/09/08 14:00","4","Hiroshima Sanfrecce","Fukuoka University","1","0","1","0","0","0","0","0","0"
"47","1378264545","#003300","JAP Cup","2011/09/08 14:00","4","Nagoya Grampus Eight","Parceiro Nagano","0","2","0","2","1","0","170262","1","0"
"48","1377593777","#33C56C","JAP WD2","2011/09/08 14:00","4","Shizuoka Sangyo Women","Nagano Parceiro Women","4","1","3","1","0","0","0","0","0"
"49","1378613084","#66CCFF","CHN NG","2011/09/08 14:00","4","Guangdong U20","Chongqing U20","3","0","0","0","0","0","0","1","0"
"50","1378613112","#66CCFF","CHN NG","2011/09/08 14:00","4","Liaoning U20","Xinjiang U20","1","1","0","0","0","0","0","1","0"
"51","1378613263","#66CCFF","CHN NG","2011/09/08 14:00","4","Shanxi Women","Guangdong Women","0","1","0","0","0","0","0","1","0"
"52","1378613282","#66CCFF","CHN NG","2011/09/08 14:00","4","Jiangsu Women","Tianjin Women","1","0","0","0","0","0","0","1","0"
"53","1377845394","#0000B7","RUS D2E","2011/09/08 14:00","4","Sakhalin Yuzhno-Sakhalinsk","Irtysh Omsk","2","0","1","0","0","0","0","0","0"
"54","1377845438","#0000B7","RUS D2E","2011/09/08 14:00","4","Smena","Sibir Novosibirsk II","2","0","2","0","0","0","0","0","0"
"55","1378261409","#003300","JAP Cup","2011/09/08 15:00","4","Roasso Kumamoto","Tokushima Vortis","1","1","0","1","1","0","170187","1","0"
