"","matchID","LeagueColor","League","Date","Finished","Home","Away","FTHG","FTAG","HTHG","HTAG","H.Card","A.Card","HT.matchID","HT.graph1","HT.graph2"
"1","1306481815","#6699ff","ARG D1","2011/06/07 08:15","4","Independiente","Lanus","1","2","0","1","0","0","125246","1","0"
"2","1306481846","#6699ff","ARG D1","2011/06/07 08:15","4","Velez Sarsfield","Godoy Cruz","2","0","0","0","0","0","125238","1","0"
"3","1306127236","#57A87B","CNCF GC","2011/06/07 09:00","4","Jamaica","Grenada","4","0","2","0","0","0","129490","1","0"
"4","1306127250","#57A87B","CNCF GC","2011/06/07 11:00","4","Honduras","Guatemala","0","0","0","0","0","2","129491","1","0"
"5","1306380809","#993333","IDN ISL","2011/06/07 16:30","4","Bontang PKT","Persiwa Wamena","3","3","2","2","0","0","0","1","0"
"6","1306983064","#C60063","CZE U19","2011/06/07 17:00","4","Sparta Praha U19","Pardubice U19","3","0","0","0","0","0","0","1","0"
"7","1306380015","#00A8A8","Friendly","2011/06/07 17:30","4","Australia","Serbia","0","0","0","0","0","0","129594","1","0"
"8","1306381486","#14DCD2","VIE D1","2011/06/07 18:00","4","Ha Noi FC","Navibank Saigon","2","1","1","0","0","0","0","0","0"
"9","1306466059","#5FAFAF","HUN U19","2011/06/07 18:00","4","Nyirsuli U19","Gyori U19","0","2","0","1","0","0","0","0","0"
"10","1306983118","#C60063","CZE U19","2011/06/07 18:00","4","Plzen U19","Mlada Boleslav U19","1","1","0","0","0","0","0","1","0"
"11","1306380102","#00A8A8","Friendly","2011/06/07 18:30","4","Japan","Czech Republic","0","0","0","0","0","0","129590","1","0"
"12","1306380044","#00A8A8","Friendly","2011/06/07 19:00","4","South Korea","Ghana","2","1","1","0","0","0","129589","1","0"
"13","1307243705","#5FAFAF","HUN U19","2011/06/07 19:00","4","Ujpest U19","Akademia Haladas U19","1","2","0","1","0","0","0","1","0"
"14","1307159206","#00A8A8","Friendly","2011/06/07 19:30","4","Singapore","Maldives","4","0","3","0","0","0","0","1","0"
"15","1309331662","#EED185","EGY D1A3","2011/06/07 20:00","4","Hmam","El Olympi","2","1","0","0","0","0","0","0","0"
"16","1309331637","#EED185","EGY D1A3","2011/06/07 20:00","4","Alaab Damanhour","Ghazl El Mahallah","1","2","0","0","0","0","0","0","0"
"17","1309331576","#EED185","EGY D1A3","2011/06/07 20:00","4","Abu Qair Semad","El Raja Marsa Matruh","3","2","0","0","0","0","0","0","0"
"18","1309331548","#EED185","EGY D1A3","2011/06/07 20:00","4","Baladiyyat El Mahallah","Al Hamol","5","0","0","0","0","0","0","0","0"
"19","1309331515","#EED185","EGY D1A3","2011/06/07 20:00","4","Maleyet Kafr El Zayiat","Meiah El Bahaira","0","0","0","0","0","0","0","0","0"
"20","1309331484","#EED185","EGY D1A3","2011/06/07 20:00","4","EL Koroum","El Mansura","1","2","0","0","0","0","0","0","0"
"21","1309337363","#DCC178","EGY D1A2","2011/06/07 20:00","4","Suez Cement","Zefta","3","2","0","0","0","0","0","0","0"
"22","1309337393","#DCC178","EGY D1A2","2011/06/07 20:00","4","Rebat Wa Alanwar","Olympic El Qanal","2","3","0","0","0","0","0","0","0"
"23","1309337421","#DCC178","EGY D1A2","2011/06/07 20:00","4","El Shams","El Sharqia Dokhan","1","4","0","0","0","0","0","0","0"
"24","1309337451","#DCC178","EGY D1A2","2011/06/07 20:00","4","El-Itesalat","Gasco","1","1","0","0","0","0","0","0","0"
"25","1309337496","#DCC178","EGY D1A2","2011/06/07 20:00","4","El Gendi","El Sharqia FC","1","1","0","0","0","0","0","0","0"
