"",".id","X......id","X....TimeUS","X....DateUS","X....League","netEMEdge.Volume","PropHKPriceEdge.Volume","PropnetProbBEdge.Volume","KProbHKPrice.Volume","KProbnetProbB.Volume","KProbFixed.Volume","KProbFixednetProbB.Volume","KEMProb.Volume","KEMProbnetProbB.Volume","KProbHalf.Volume","KProbHalfnetProbB.Volume","KProbQuarter.Volume","KProbQuarternetProbB.Volume","KProbAdj.Volume","KProbAdjnetProbB.Volume","KHalfAdj.Volume","KHalfAdjnetProbB.Volume","KEMQuarterAdj.Volume","KEMQuarterAdjnetProbB.Volume"
"1492","Kelly4","Min.   :    1  ","Min.   :2011-01-07 14:45:00  ","Min.   :2011-01-07  ","ENG PR : 1930  ","Min.   :   0.50  ","Min.   :   3.084  ","Min.   :   2.758  ","Min.   :   0.5892  ","Min.   :   0.5702  ","Min.   :   0.5638  ","Min.   :   0.5536  ","Min.   :0.0000  ","Min.   :0.000  ","Min.   :  0.000  ","Min.   :  0.000  ","Min.   :  0.00000  ","Min.   :  0.00000  ","Min.   :   0.5638  ","Min.   :   0.5536  ","Min.   :  0.05459  ","Min.   :  0.02583  ","Min.   : 0.002488  ","Min.   : 0.00002  "
"1493","Kelly4","1st Qu.:10264  ","1st Qu.:2012-09-07 15:00:00  ","1st Qu.:2012-09-07  ","FRA D2 : 1526  ","1st Qu.:  12.50  ","1st Qu.:  56.148  ","1st Qu.:  56.422  ","1st Qu.:  13.2652  ","1st Qu.:  13.3035  ","1st Qu.:  14.3979  ","1st Qu.:  14.3909  ","1st Qu.:0.9926  ","1st Qu.:0.981  ","1st Qu.:  2.824  ","1st Qu.:  2.821  ","1st Qu.:  0.03227  ","1st Qu.:  0.06477  ","1st Qu.:  14.3979  ","1st Qu.:  14.3909  ","1st Qu.:  1.64389  ","1st Qu.:  1.61832  ","1st Qu.: 0.186130  ","1st Qu.: 0.17575  "
"1494","Kelly4","Median :20528  ","Median :2013-09-21 10:00:00  ","Median :2013-09-21  ","GER D1 : 1464  ","Median :  26.00  ","Median : 117.959  ","Median : 117.872  ","Median :  28.1232  ","Median :  28.1175  ","Median :  30.1180  ","Median :  30.1257  ","Median :1.1760  ","Median :1.173  ","Median :  6.515  ","Median :  6.516  ","Median :  0.95399  ","Median :  0.97191  ","Median :  30.1180  ","Median :  30.1257  ","Median :  3.50555  ","Median :  3.53366  ","Median : 0.410743  ","Median : 0.42638  "
"1495","Kelly4","Mean   :20528  ","Mean   :2013-08-06 03:16:01  ","Mean   :2013-08-05  ","ITA D1 : 1412  ","Mean   :  40.53  ","Mean   : 180.205  ","Mean   : 180.210  ","Mean   :  43.3293  ","Mean   :  43.3297  ","Mean   :  46.4890  ","Mean   :  46.4970  ","Mean   :1.1729  ","Mean   :1.173  ","Mean   : 10.299  ","Mean   : 10.300  ","Mean   :  1.98657  ","Mean   :  2.00139  ","Mean   :  46.4890  ","Mean   :  46.4970  ","Mean   :  5.42016  ","Mean   :  5.53000  ","Mean   : 0.643190  ","Mean   : 0.69459  "
"1496","Kelly4","3rd Qu.:30792  ","3rd Qu.:2014-09-18 15:05:00  ","3rd Qu.:2014-09-18  ","SPA D1 : 1331  ","3rd Qu.:  50.00  ","3rd Qu.: 218.365  ","3rd Qu.: 218.411  ","3rd Qu.:  52.6842  ","3rd Qu.:  52.6789  ","3rd Qu.:  56.3814  ","3rd Qu.:  56.4400  ","3rd Qu.:1.3572  ","3rd Qu.:1.366  ","3rd Qu.: 12.642  ","3rd Qu.: 12.624  ","3rd Qu.:  2.46879  ","3rd Qu.:  2.47491  ","3rd Qu.:  56.3814  ","3rd Qu.:  56.4400  ","3rd Qu.:  6.53271  ","3rd Qu.:  6.68029  ","3rd Qu.: 0.777229  ","3rd Qu.: 0.84404  "
"1497","Kelly4","Max.   :41055  ","Max.   :2015-07-19 19:45:00  ","Max.   :2015-07-19  ","FRA D1 : 1256  ","Max.   :1600.00  ","Max.   :6819.605  ","Max.   :6819.674  ","Max.   :1618.8774  ","Max.   :1618.8808  ","Max.   :1731.2416  ","Max.   :1737.0483  ","Max.   :2.4998  ","Max.   :2.707  ","Max.   :404.148  ","Max.   :404.121  ","Max.   :100.31044  ","Max.   :100.26730  ","Max.   :1731.2416  ","Max.   :1737.0483  ","Max.   :204.07878  ","Max.   :225.61289  ","Max.   :26.030094  ","Max.   :31.81324  "
"1498","Kelly4",NA,NA,NA,"(Other):32136  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1499","Kelly1","Min.   :    1  ","Min.   :2011-01-07 14:45:00  ","Min.   :2011-01-07  ","ENG PR : 1930  ","Min.   :   0.50  ","Min.   :   2.869  ","Min.   :   2.588  ","Min.   :   0.2859  ","Min.   :   0.1326  ","Min.   :   0.4412  ","Min.   :   0.3676  ","Min.   :0.000  ","Min.   :0.0000  ","Min.   :  0.000  ","Min.   :  0.000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   :   0.4412  ","Min.   :   0.3676  ","Min.   :  0.03168  ","Min.   :  0.0172  ","Min.   : 0.001803  ","Min.   : 0.00001  "
"1500","Kelly1","1st Qu.:10264  ","1st Qu.:2012-09-07 15:00:00  ","1st Qu.:2012-09-07  ","FRA D2 : 1526  ","1st Qu.:  12.50  ","1st Qu.:  53.700  ","1st Qu.:  53.717  ","1st Qu.:  12.8213  ","1st Qu.:  12.8154  ","1st Qu.:  12.8154  ","1st Qu.:  12.7879  ","1st Qu.:0.887  ","1st Qu.:0.8867  ","1st Qu.:  2.626  ","1st Qu.:  2.632  ","1st Qu.: 0.0000  ","1st Qu.: 0.0138  ","1st Qu.:  12.8154  ","1st Qu.:  12.7879  ","1st Qu.:  1.45283  ","1st Qu.:  1.4262  ","1st Qu.: 0.164981  ","1st Qu.: 0.15490  "
"1501","Kelly1","Median :20528  ","Median :2013-09-21 10:00:00  ","Median :2013-09-21  ","GER D1 : 1464  ","Median :  26.00  ","Median : 112.493  ","Median : 112.447  ","Median :  26.8034  ","Median :  26.8034  ","Median :  26.8747  ","Median :  26.8772  ","Median :1.052  ","Median :1.0514  ","Median :  6.162  ","Median :  6.169  ","Median : 0.8579  ","Median : 0.8775  ","Median :  26.8747  ","Median :  26.8772  ","Median :  3.11285  ","Median :  3.1523  ","Median : 0.365443  ","Median : 0.38181  "
