"",".id","X......id","X....TimeUS","X....DateUS","X....League","netEMEdge.High","PropHKPriceEdge.High","PropnetProbBEdge.High","KProbHKPrice.High","KProbnetProbB.High","KProbFixed.High","KProbFixednetProbB.High","X.KEMProb.High","KEMProbnetProbB.High","KProbHalf.High","KProbHalfnetProbB.High","KProbQuarter.High","KProbQuarternetProbB.High","KProbAdj.High","KProbAdjnetProbB.High","KHalfAdj.High","KHalfAdjnetProbB.High","KEMQuarterAdj.High","KEMQuarterAdjnetProbB.High"
"1","Kelly1","Min.   :    1  ","Min.   :2011-01-07 14:45:00  ","Min.   :2011-01-07  ","ENG PR : 1930  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  "
"2","Kelly1","1st Qu.:10264  ","1st Qu.:2012-09-07 15:00:00  ","1st Qu.:2012-09-07  ","FRA D2 : 1526  ","1st Qu.: 75045  ","1st Qu.: 75045  ","1st Qu.: 75045  ","1st Qu.: 75045  ","1st Qu.: 75045  ","1st Qu.: 75045  ","1st Qu.: 75045  ","1st Qu.: 75045  ","1st Qu.: 75045  ","1st Qu.: 75045  ","1st Qu.: 75045  ","1st Qu.: 75045  ","1st Qu.: 75045  ","1st Qu.: 75045  ","1st Qu.: 75045  ","1st Qu.: 75045  ","1st Qu.: 75045  ","1st Qu.: 75045  ","1st Qu.: 75045  "
"3","Kelly1","Median :20528  ","Median :2013-09-21 10:00:00  ","Median :2013-09-21  ","GER D1 : 1464  ","Median :103707  ","Median :103707  ","Median :103707  ","Median :103707  ","Median :103707  ","Median :103707  ","Median :103707  ","Median :103707  ","Median :103707  ","Median :103707  ","Median :103707  ","Median :103707  ","Median :103707  ","Median :103707  ","Median :103707  ","Median :103707  ","Median :103707  ","Median :103707  ","Median :103707  "
"4","Kelly1","Mean   :20528  ","Mean   :2013-08-06 03:16:01  ","Mean   :2013-08-05  ","ITA D1 : 1412  ","Mean   :104418  ","Mean   :104418  ","Mean   :104418  ","Mean   :104418  ","Mean   :104418  ","Mean   :104418  ","Mean   :104418  ","Mean   :104418  ","Mean   :104418  ","Mean   :104418  ","Mean   :104418  ","Mean   :104418  ","Mean   :104418  ","Mean   :104418  ","Mean   :104418  ","Mean   :104418  ","Mean   :104418  ","Mean   :104418  ","Mean   :104418  "
"5","Kelly1","3rd Qu.:30792  ","3rd Qu.:2014-09-18 15:05:00  ","3rd Qu.:2014-09-18  ","SPA D1 : 1331  ","3rd Qu.:137124  ","3rd Qu.:137124  ","3rd Qu.:137124  ","3rd Qu.:137124  ","3rd Qu.:137124  ","3rd Qu.:137124  ","3rd Qu.:137124  ","3rd Qu.:137124  ","3rd Qu.:137124  ","3rd Qu.:137124  ","3rd Qu.:137124  ","3rd Qu.:137124  ","3rd Qu.:137124  ","3rd Qu.:137124  ","3rd Qu.:137124  ","3rd Qu.:137124  ","3rd Qu.:137124  ","3rd Qu.:137124  ","3rd Qu.:137124  "
"6","Kelly1","Max.   :41055  ","Max.   :2015-07-19 19:45:00  ","Max.   :2015-07-19  ","FRA D1 : 1256  ","Max.   :183018  ","Max.   :183018  ","Max.   :183018  ","Max.   :183018  ","Max.   :183018  ","Max.   :183018  ","Max.   :183018  ","Max.   :183018  ","Max.   :183018  ","Max.   :183018  ","Max.   :183018  ","Max.   :183018  ","Max.   :183018  ","Max.   :183018  ","Max.   :183018  ","Max.   :183018  ","Max.   :183018  ","Max.   :183018  ","Max.   :183018  "
"7","Kelly1",NA,NA,NA,"(Other):32136  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Kelly1","Min.   :    1  ","Min.   :2011-01-07 14:45:00  ","Min.   :2011-01-07  ","ENG PR : 1930  ","Min.   : 4779  ","Min.   : 4779  ","Min.   : 4779  ","Min.   : 4779  ","Min.   : 4779  ","Min.   : 4779  ","Min.   : 4779  ","Min.   : 4779  ","Min.   : 4779  ","Min.   : 4779  ","Min.   : 4779  ","Min.   : 4779  ","Min.   : 4779  ","Min.   : 4779  ","Min.   : 4779  ","Min.   : 4779  ","Min.   : 4779  ","Min.   : 4779  ","Min.   : 4779  "
"9","Kelly1","1st Qu.:10264  ","1st Qu.:2012-09-07 15:00:00  ","1st Qu.:2012-09-07  ","FRA D2 : 1526  ","1st Qu.:17831  ","1st Qu.:17831  ","1st Qu.:17831  ","1st Qu.:17831  ","1st Qu.:17831  ","1st Qu.:17831  ","1st Qu.:17831  ","1st Qu.:17831  ","1st Qu.:17831  ","1st Qu.:17831  ","1st Qu.:17831  ","1st Qu.:17831  ","1st Qu.:17831  ","1st Qu.:17831  ","1st Qu.:17831  ","1st Qu.:17831  ","1st Qu.:17831  ","1st Qu.:17831  ","1st Qu.:17831  "
"10","Kelly1","Median :20528  ","Median :2013-09-21 10:00:00  ","Median :2013-09-21  ","GER D1 : 1464  ","Median :24676  ","Median :24676  ","Median :24676  ","Median :24676  ","Median :24676  ","Median :24676  ","Median :24676  ","Median :24676  ","Median :24676  ","Median :24676  ","Median :24676  ","Median :24676  ","Median :24676  ","Median :24676  ","Median :24676  ","Median :24676  ","Median :24676  ","Median :24676  ","Median :24676  "
"11","Kelly1","Mean   :20528  ","Mean   :2013-08-06 03:16:01  ","Mean   :2013-08-05  ","ITA D1 : 1412  ","Mean   :24803  ","Mean   :24803  ","Mean   :24803  ","Mean   :24803  ","Mean   :24803  ","Mean   :24803  ","Mean   :24803  ","Mean   :24803  ","Mean   :24803  ","Mean   :24803  ","Mean   :24803  ","Mean   :24803  ","Mean   :24803  ","Mean   :24803  ","Mean   :24803  ","Mean   :24803  ","Mean   :24803  ","Mean   :24803  ","Mean   :24803  "
"12","Kelly1","3rd Qu.:30792  ","3rd Qu.:2014-09-18 15:05:00  ","3rd Qu.:2014-09-18  ","SPA D1 : 1331  ","3rd Qu.:32491  ","3rd Qu.:32491  ","3rd Qu.:32491  ","3rd Qu.:32491  ","3rd Qu.:32491  ","3rd Qu.:32491  ","3rd Qu.:32491  ","3rd Qu.:32491  ","3rd Qu.:32491  ","3rd Qu.:32491  ","3rd Qu.:32491  ","3rd Qu.:32491  ","3rd Qu.:32491  ","3rd Qu.:32491  ","3rd Qu.:32491  ","3rd Qu.:32491  ","3rd Qu.:32491  ","3rd Qu.:32491  ","3rd Qu.:32491  "
"13","Kelly1","Max.   :41055  ","Max.   :2015-07-19 19:45:00  ","Max.   :2015-07-19  ","FRA D1 : 1256  ","Max.   :43489  ","Max.   :43489  ","Max.   :43489  ","Max.   :43489  ","Max.   :43489  ","Max.   :43489  ","Max.   :43489  ","Max.   :43489  ","Max.   :43489  ","Max.   :43489  ","Max.   :43489  ","Max.   :43489  ","Max.   :43489  ","Max.   :43489  ","Max.   :43489  ","Max.   :43489  ","Max.   :43489  ","Max.   :43489  ","Max.   :43489  "
"14","Kelly1",NA,NA,NA,"(Other):32136  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Kelly1","Min.   :    1  ","Min.   :2011-01-07 14:45:00  ","Min.   :2011-01-07  ","ENG PR : 1930  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  "
"16","Kelly1","1st Qu.:10264  ","1st Qu.:2012-09-07 15:00:00  ","1st Qu.:2012-09-07  ","FRA D2 : 1526  ","1st Qu.: 77059  ","1st Qu.: 77059  ","1st Qu.: 77059  ","1st Qu.: 77059  ","1st Qu.: 77059  ","1st Qu.: 77059  ","1st Qu.: 77059  ","1st Qu.: 77059  ","1st Qu.: 77059  ","1st Qu.: 77059  ","1st Qu.: 77059  ","1st Qu.: 77059  ","1st Qu.: 77059  ","1st Qu.: 77059  ","1st Qu.: 77059  ","1st Qu.: 77059  ","1st Qu.: 77059  ","1st Qu.: 77059  ","1st Qu.: 77059  "
"17","Kelly1","Median :20528  ","Median :2013-09-21 10:00:00  ","Median :2013-09-21  ","GER D1 : 1464  ","Median :107905  ","Median :107905  ","Median :107905  ","Median :107905  ","Median :107905  ","Median :107905  ","Median :107905  ","Median :107905  ","Median :107905  ","Median :107905  ","Median :107905  ","Median :107905  ","Median :107905  ","Median :107905  ","Median :107905  ","Median :107905  ","Median :107905  ","Median :107905  ","Median :107905  "
"18","Kelly1","Mean   :20528  ","Mean   :2013-08-06 03:16:01  ","Mean   :2013-08-05  ","ITA D1 : 1412  ","Mean   :108514  ","Mean   :108514  ","Mean   :108514  ","Mean   :108514  ","Mean   :108514  ","Mean   :108514  ","Mean   :108514  ","Mean   :108514  ","Mean   :108514  ","Mean   :108514  ","Mean   :108514  ","Mean   :108514  ","Mean   :108514  ","Mean   :108514  ","Mean   :108514  ","Mean   :108514  ","Mean   :108514  ","Mean   :108514  ","Mean   :108514  "
"19","Kelly1","3rd Qu.:30792  ","3rd Qu.:2014-09-18 15:05:00  ","3rd Qu.:2014-09-18  ","SPA D1 : 1331  ","3rd Qu.:142975  ","3rd Qu.:142975  ","3rd Qu.:142975  ","3rd Qu.:142975  ","3rd Qu.:142975  ","3rd Qu.:142975  ","3rd Qu.:142975  ","3rd Qu.:142975  ","3rd Qu.:142975  ","3rd Qu.:142975  ","3rd Qu.:142975  ","3rd Qu.:142975  ","3rd Qu.:142975  ","3rd Qu.:142975  ","3rd Qu.:142975  ","3rd Qu.:142975  ","3rd Qu.:142975  ","3rd Qu.:142975  ","3rd Qu.:142975  "
"20","Kelly1","Max.   :41055  ","Max.   :2015-07-19 19:45:00  ","Max.   :2015-07-19  ","FRA D1 : 1256  ","Max.   :191896  ","Max.   :191896  ","Max.   :191896  ","Max.   :191896  ","Max.   :191896  ","Max.   :191896  ","Max.   :191896  ","Max.   :191896  ","Max.   :191896  ","Max.   :191896  ","Max.   :191896  ","Max.   :191896  ","Max.   :191896  ","Max.   :191896  ","Max.   :191896  ","Max.   :191896  ","Max.   :191896  ","Max.   :191896  ","Max.   :191896  "
"21","Kelly1",NA,NA,NA,"(Other):32136  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Kelly2","Min.   :    1  ","Min.   :2011-01-07 14:45:00  ","Min.   :2011-01-07  ","ENG PR : 1930  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  "
"23","Kelly2","1st Qu.:10264  ","1st Qu.:2012-09-07 15:00:00  ","1st Qu.:2012-09-07  ","FRA D2 : 1526  ","1st Qu.: 77059  ","1st Qu.: 77059  ","1st Qu.: 77059  ","1st Qu.: 77059  ","1st Qu.: 77059  ","1st Qu.: 77059  ","1st Qu.: 77059  ","1st Qu.: 77059  ","1st Qu.: 77059  ","1st Qu.: 77059  ","1st Qu.: 77059  ","1st Qu.: 77059  ","1st Qu.: 77059  ","1st Qu.: 77059  ","1st Qu.: 77059  ","1st Qu.: 77059  ","1st Qu.: 77059  ","1st Qu.: 77059  ","1st Qu.: 77059  "
"24","Kelly2","Median :20528  ","Median :2013-09-21 10:00:00  ","Median :2013-09-21  ","GER D1 : 1464  ","Median :107905  ","Median :107905  ","Median :107905  ","Median :107905  ","Median :107905  ","Median :107905  ","Median :107905  ","Median :107905  ","Median :107905  ","Median :107905  ","Median :107905  ","Median :107905  ","Median :107905  ","Median :107905  ","Median :107905  ","Median :107905  ","Median :107905  ","Median :107905  ","Median :107905  "
"25","Kelly2","Mean   :20528  ","Mean   :2013-08-06 03:16:01  ","Mean   :2013-08-05  ","ITA D1 : 1412  ","Mean   :108514  ","Mean   :108514  ","Mean   :108514  ","Mean   :108514  ","Mean   :108514  ","Mean   :108514  ","Mean   :108514  ","Mean   :108514  ","Mean   :108514  ","Mean   :108514  ","Mean   :108514  ","Mean   :108514  ","Mean   :108514  ","Mean   :108514  ","Mean   :108514  ","Mean   :108514  ","Mean   :108514  ","Mean   :108514  ","Mean   :108514  "
"26","Kelly2","3rd Qu.:30792  ","3rd Qu.:2014-09-18 15:05:00  ","3rd Qu.:2014-09-18  ","SPA D1 : 1331  ","3rd Qu.:142975  ","3rd Qu.:142975  ","3rd Qu.:142975  ","3rd Qu.:142975  ","3rd Qu.:142975  ","3rd Qu.:142975  ","3rd Qu.:142975  ","3rd Qu.:142975  ","3rd Qu.:142975  ","3rd Qu.:142975  ","3rd Qu.:142975  ","3rd Qu.:142975  ","3rd Qu.:142975  ","3rd Qu.:142975  ","3rd Qu.:142975  ","3rd Qu.:142975  ","3rd Qu.:142975  ","3rd Qu.:142975  ","3rd Qu.:142975  "
"27","Kelly2","Max.   :41055  ","Max.   :2015-07-19 19:45:00  ","Max.   :2015-07-19  ","FRA D1 : 1256  ","Max.   :191896  ","Max.   :191896  ","Max.   :191896  ","Max.   :191896  ","Max.   :191896  ","Max.   :191896  ","Max.   :191896  ","Max.   :191896  ","Max.   :191896  ","Max.   :191896  ","Max.   :191896  ","Max.   :191896  ","Max.   :191896  ","Max.   :191896  ","Max.   :191896  ","Max.   :191896  ","Max.   :191896  ","Max.   :191896  ","Max.   :191896  "
"28","Kelly2",NA,NA,NA,"(Other):32136  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Kelly3","Min.   :    1  ","Min.   :2011-01-07 14:45:00  ","Min.   :2011-01-07  ","ENG PR : 1930  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  "
"30","Kelly3","1st Qu.:10264  ","1st Qu.:2012-09-07 15:00:00  ","1st Qu.:2012-09-07  ","FRA D2 : 1526  ","1st Qu.: 77102  ","1st Qu.: 77102  ","1st Qu.: 77102  ","1st Qu.: 77102  ","1st Qu.: 77102  ","1st Qu.: 77102  ","1st Qu.: 77102  ","1st Qu.: 77102  ","1st Qu.: 77102  ","1st Qu.: 77102  ","1st Qu.: 77102  ","1st Qu.: 77102  ","1st Qu.: 77102  ","1st Qu.: 77102  ","1st Qu.: 77102  ","1st Qu.: 77102  ","1st Qu.: 77102  ","1st Qu.: 77102  ","1st Qu.: 77102  "
"31","Kelly3","Median :20528  ","Median :2013-09-21 10:00:00  ","Median :2013-09-21  ","GER D1 : 1464  ","Median :107988  ","Median :107988  ","Median :107988  ","Median :107988  ","Median :107988  ","Median :107988  ","Median :107988  ","Median :107988  ","Median :107988  ","Median :107988  ","Median :107988  ","Median :107988  ","Median :107988  ","Median :107988  ","Median :107988  ","Median :107988  ","Median :107988  ","Median :107988  ","Median :107988  "
"32","Kelly3","Mean   :20528  ","Mean   :2013-08-06 03:16:01  ","Mean   :2013-08-05  ","ITA D1 : 1412  ","Mean   :108602  ","Mean   :108602  ","Mean   :108602  ","Mean   :108602  ","Mean   :108602  ","Mean   :108602  ","Mean   :108602  ","Mean   :108602  ","Mean   :108602  ","Mean   :108602  ","Mean   :108602  ","Mean   :108602  ","Mean   :108602  ","Mean   :108602  ","Mean   :108602  ","Mean   :108602  ","Mean   :108602  ","Mean   :108602  ","Mean   :108602  "
"33","Kelly3","3rd Qu.:30792  ","3rd Qu.:2014-09-18 15:05:00  ","3rd Qu.:2014-09-18  ","SPA D1 : 1331  ","3rd Qu.:143110  ","3rd Qu.:143110  ","3rd Qu.:143110  ","3rd Qu.:143110  ","3rd Qu.:143110  ","3rd Qu.:143110  ","3rd Qu.:143110  ","3rd Qu.:143110  ","3rd Qu.:143110  ","3rd Qu.:143110  ","3rd Qu.:143110  ","3rd Qu.:143110  ","3rd Qu.:143110  ","3rd Qu.:143110  ","3rd Qu.:143110  ","3rd Qu.:143110  ","3rd Qu.:143110  ","3rd Qu.:143110  ","3rd Qu.:143110  "
"34","Kelly3","Max.   :41055  ","Max.   :2015-07-19 19:45:00  ","Max.   :2015-07-19  ","FRA D1 : 1256  ","Max.   :192082  ","Max.   :192082  ","Max.   :192082  ","Max.   :192082  ","Max.   :192082  ","Max.   :192082  ","Max.   :192082  ","Max.   :192082  ","Max.   :192082  ","Max.   :192082  ","Max.   :192082  ","Max.   :192082  ","Max.   :192082  ","Max.   :192082  ","Max.   :192082  ","Max.   :192082  ","Max.   :192082  ","Max.   :192082  ","Max.   :192082  "
"35","Kelly3",NA,NA,NA,"(Other):32136  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Kelly4","Min.   :    1  ","Min.   :2011-01-07 14:45:00  ","Min.   :2011-01-07  ","ENG PR : 1930  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  "
"37","Kelly4","1st Qu.:10264  ","1st Qu.:2012-09-07 15:00:00  ","1st Qu.:2012-09-07  ","FRA D2 : 1526  ","1st Qu.: 77102  ","1st Qu.: 77102  ","1st Qu.: 77102  ","1st Qu.: 77102  ","1st Qu.: 77102  ","1st Qu.: 77102  ","1st Qu.: 77102  ","1st Qu.: 77102  ","1st Qu.: 77102  ","1st Qu.: 77102  ","1st Qu.: 77102  ","1st Qu.: 77102  ","1st Qu.: 77102  ","1st Qu.: 77102  ","1st Qu.: 77102  ","1st Qu.: 77102  ","1st Qu.: 77102  ","1st Qu.: 77102  ","1st Qu.: 77102  "
"38","Kelly4","Median :20528  ","Median :2013-09-21 10:00:00  ","Median :2013-09-21  ","GER D1 : 1464  ","Median :107988  ","Median :107988  ","Median :107988  ","Median :107988  ","Median :107988  ","Median :107988  ","Median :107988  ","Median :107988  ","Median :107988  ","Median :107988  ","Median :107988  ","Median :107988  ","Median :107988  ","Median :107988  ","Median :107988  ","Median :107988  ","Median :107988  ","Median :107988  ","Median :107988  "
"39","Kelly4","Mean   :20528  ","Mean   :2013-08-06 03:16:01  ","Mean   :2013-08-05  ","ITA D1 : 1412  ","Mean   :108602  ","Mean   :108602  ","Mean   :108602  ","Mean   :108602  ","Mean   :108602  ","Mean   :108602  ","Mean   :108602  ","Mean   :108602  ","Mean   :108602  ","Mean   :108602  ","Mean   :108602  ","Mean   :108602  ","Mean   :108602  ","Mean   :108602  ","Mean   :108602  ","Mean   :108602  ","Mean   :108602  ","Mean   :108602  ","Mean   :108602  "
"40","Kelly4","3rd Qu.:30792  ","3rd Qu.:2014-09-18 15:05:00  ","3rd Qu.:2014-09-18  ","SPA D1 : 1331  ","3rd Qu.:143110  ","3rd Qu.:143110  ","3rd Qu.:143110  ","3rd Qu.:143110  ","3rd Qu.:143110  ","3rd Qu.:143110  ","3rd Qu.:143110  ","3rd Qu.:143110  ","3rd Qu.:143110  ","3rd Qu.:143110  ","3rd Qu.:143110  ","3rd Qu.:143110  ","3rd Qu.:143110  ","3rd Qu.:143110  ","3rd Qu.:143110  ","3rd Qu.:143110  ","3rd Qu.:143110  ","3rd Qu.:143110  ","3rd Qu.:143110  "
"41","Kelly4","Max.   :41055  ","Max.   :2015-07-19 19:45:00  ","Max.   :2015-07-19  ","FRA D1 : 1256  ","Max.   :192082  ","Max.   :192082  ","Max.   :192082  ","Max.   :192082  ","Max.   :192082  ","Max.   :192082  ","Max.   :192082  ","Max.   :192082  ","Max.   :192082  ","Max.   :192082  ","Max.   :192082  ","Max.   :192082  ","Max.   :192082  ","Max.   :192082  ","Max.   :192082  ","Max.   :192082  ","Max.   :192082  ","Max.   :192082  ","Max.   :192082  "
"42","Kelly4",NA,NA,NA,"(Other):32136  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Kelly1","Min.   :    1  ","Min.   :2011-01-07 14:45:00  ","Min.   :2011-01-07  ","ENG PR : 1930  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  "
"44","Kelly1","1st Qu.:10264  ","1st Qu.:2012-09-07 15:00:00  ","1st Qu.:2012-09-07  ","FRA D2 : 1526  ","1st Qu.: 76337  ","1st Qu.: 76337  ","1st Qu.: 76337  ","1st Qu.: 76337  ","1st Qu.: 76337  ","1st Qu.: 76337  ","1st Qu.: 76337  ","1st Qu.: 76337  ","1st Qu.: 76337  ","1st Qu.: 76337  ","1st Qu.: 76337  ","1st Qu.: 76337  ","1st Qu.: 76337  ","1st Qu.: 76337  ","1st Qu.: 76337  ","1st Qu.: 76337  ","1st Qu.: 76337  ","1st Qu.: 76337  ","1st Qu.: 76337  "
"45","Kelly1","Median :20528  ","Median :2013-09-21 10:00:00  ","Median :2013-09-21  ","GER D1 : 1464  ","Median :106125  ","Median :106125  ","Median :106125  ","Median :106125  ","Median :106125  ","Median :106125  ","Median :106125  ","Median :106125  ","Median :106125  ","Median :106125  ","Median :106125  ","Median :106125  ","Median :106125  ","Median :106125  ","Median :106125  ","Median :106125  ","Median :106125  ","Median :106125  ","Median :106125  "
"46","Kelly1","Mean   :20528  ","Mean   :2013-08-06 03:16:01  ","Mean   :2013-08-05  ","ITA D1 : 1412  ","Mean   :106440  ","Mean   :106440  ","Mean   :106440  ","Mean   :106440  ","Mean   :106440  ","Mean   :106440  ","Mean   :106440  ","Mean   :106440  ","Mean   :106440  ","Mean   :106440  ","Mean   :106440  ","Mean   :106440  ","Mean   :106440  ","Mean   :106440  ","Mean   :106440  ","Mean   :106440  ","Mean   :106440  ","Mean   :106440  ","Mean   :106440  "
"47","Kelly1","3rd Qu.:30792  ","3rd Qu.:2014-09-18 15:05:00  ","3rd Qu.:2014-09-18  ","SPA D1 : 1331  ","3rd Qu.:139598  ","3rd Qu.:139598  ","3rd Qu.:139598  ","3rd Qu.:139598  ","3rd Qu.:139598  ","3rd Qu.:139598  ","3rd Qu.:139598  ","3rd Qu.:139598  ","3rd Qu.:139598  ","3rd Qu.:139598  ","3rd Qu.:139598  ","3rd Qu.:139598  ","3rd Qu.:139598  ","3rd Qu.:139598  ","3rd Qu.:139598  ","3rd Qu.:139598  ","3rd Qu.:139598  ","3rd Qu.:139598  ","3rd Qu.:139598  "
"48","Kelly1","Max.   :41055  ","Max.   :2015-07-19 19:45:00  ","Max.   :2015-07-19  ","FRA D1 : 1256  ","Max.   :187054  ","Max.   :187054  ","Max.   :187054  ","Max.   :187054  ","Max.   :187054  ","Max.   :187054  ","Max.   :187054  ","Max.   :187054  ","Max.   :187054  ","Max.   :187054  ","Max.   :187054  ","Max.   :187054  ","Max.   :187054  ","Max.   :187054  ","Max.   :187054  ","Max.   :187054  ","Max.   :187054  ","Max.   :187054  ","Max.   :187054  "
"49","Kelly1",NA,NA,NA,"(Other):32136  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Kelly2","Min.   :    1  ","Min.   :2011-01-07 14:45:00  ","Min.   :2011-01-07  ","ENG PR : 1930  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  "
"51","Kelly2","1st Qu.:10264  ","1st Qu.:2012-09-07 15:00:00  ","1st Qu.:2012-09-07  ","FRA D2 : 1526  ","1st Qu.: 76337  ","1st Qu.: 76337  ","1st Qu.: 76337  ","1st Qu.: 76337  ","1st Qu.: 76337  ","1st Qu.: 76337  ","1st Qu.: 76337  ","1st Qu.: 76337  ","1st Qu.: 76337  ","1st Qu.: 76337  ","1st Qu.: 76337  ","1st Qu.: 76337  ","1st Qu.: 76337  ","1st Qu.: 76337  ","1st Qu.: 76337  ","1st Qu.: 76337  ","1st Qu.: 76337  ","1st Qu.: 76337  ","1st Qu.: 76337  "
"52","Kelly2","Median :20528  ","Median :2013-09-21 10:00:00  ","Median :2013-09-21  ","GER D1 : 1464  ","Median :106125  ","Median :106125  ","Median :106125  ","Median :106125  ","Median :106125  ","Median :106125  ","Median :106125  ","Median :106125  ","Median :106125  ","Median :106125  ","Median :106125  ","Median :106125  ","Median :106125  ","Median :106125  ","Median :106125  ","Median :106125  ","Median :106125  ","Median :106125  ","Median :106125  "
"53","Kelly2","Mean   :20528  ","Mean   :2013-08-06 03:16:01  ","Mean   :2013-08-05  ","ITA D1 : 1412  ","Mean   :106440  ","Mean   :106440  ","Mean   :106440  ","Mean   :106440  ","Mean   :106440  ","Mean   :106440  ","Mean   :106440  ","Mean   :106440  ","Mean   :106440  ","Mean   :106440  ","Mean   :106440  ","Mean   :106440  ","Mean   :106440  ","Mean   :106440  ","Mean   :106440  ","Mean   :106440  ","Mean   :106440  ","Mean   :106440  ","Mean   :106440  "
"54","Kelly2","3rd Qu.:30792  ","3rd Qu.:2014-09-18 15:05:00  ","3rd Qu.:2014-09-18  ","SPA D1 : 1331  ","3rd Qu.:139598  ","3rd Qu.:139598  ","3rd Qu.:139598  ","3rd Qu.:139598  ","3rd Qu.:139598  ","3rd Qu.:139598  ","3rd Qu.:139598  ","3rd Qu.:139598  ","3rd Qu.:139598  ","3rd Qu.:139598  ","3rd Qu.:139598  ","3rd Qu.:139598  ","3rd Qu.:139598  ","3rd Qu.:139598  ","3rd Qu.:139598  ","3rd Qu.:139598  ","3rd Qu.:139598  ","3rd Qu.:139598  ","3rd Qu.:139598  "
"55","Kelly2","Max.   :41055  ","Max.   :2015-07-19 19:45:00  ","Max.   :2015-07-19  ","FRA D1 : 1256  ","Max.   :187054  ","Max.   :187054  ","Max.   :187054  ","Max.   :187054  ","Max.   :187054  ","Max.   :187054  ","Max.   :187054  ","Max.   :187054  ","Max.   :187054  ","Max.   :187054  ","Max.   :187054  ","Max.   :187054  ","Max.   :187054  ","Max.   :187054  ","Max.   :187054  ","Max.   :187054  ","Max.   :187054  ","Max.   :187054  ","Max.   :187054  "
