"",".id","X......id","X....TimeUS","X....DateUS","X....League","netEMEdge.High","PropHKPriceEdge.High","PropnetProbBEdge.High","KProbHKPrice.High","KProbnetProbB.High","KProbFixed.High","KProbFixednetProbB.High","X.KEMProb.High","KEMProbnetProbB.High","KProbHalf.High","KProbHalfnetProbB.High","KProbQuarter.High","KProbQuarternetProbB.High","KProbAdj.High","KProbAdjnetProbB.High","KHalfAdj.High","KHalfAdjnetProbB.High","KEMQuarterAdj.High","KEMQuarterAdjnetProbB.High"
"1811","Kelly1","3rd Qu.:30792  ","3rd Qu.:2014-09-18 15:05:00  ","3rd Qu.:2014-09-18  ","SPA D1 : 1331  ","3rd Qu.:144138  ","3rd Qu.:144138  ","3rd Qu.:144138  ","3rd Qu.:144138  ","3rd Qu.:144138  ","3rd Qu.:144138  ","3rd Qu.:144138  ","3rd Qu.:144138  ","3rd Qu.:144138  ","3rd Qu.:144138  ","3rd Qu.:144138  ","3rd Qu.:144138  ","3rd Qu.:144138  ","3rd Qu.:144138  ","3rd Qu.:144138  ","3rd Qu.:144138  ","3rd Qu.:144138  ","3rd Qu.:144138  ","3rd Qu.:144138  "
"1812","Kelly1","Max.   :41055  ","Max.   :2015-07-19 19:45:00  ","Max.   :2015-07-19  ","FRA D1 : 1256  ","Max.   :193593  ","Max.   :193593  ","Max.   :193593  ","Max.   :193593  ","Max.   :193593  ","Max.   :193593  ","Max.   :193593  ","Max.   :193593  ","Max.   :193593  ","Max.   :193593  ","Max.   :193593  ","Max.   :193593  ","Max.   :193593  ","Max.   :193593  ","Max.   :193593  ","Max.   :193593  ","Max.   :193593  ","Max.   :193593  ","Max.   :193593  "
"1813","Kelly1",NA,NA,NA,"(Other):32136  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1814","Kelly2","Min.   :    1  ","Min.   :2011-01-07 14:45:00  ","Min.   :2011-01-07  ","ENG PR : 1930  ","Min.   : 18409  ","Min.   : 18409  ","Min.   : 18409  ","Min.   : 18409  ","Min.   : 18409  ","Min.   : 18409  ","Min.   : 18409  ","Min.   : 18409  ","Min.   : 18409  ","Min.   : 18409  ","Min.   : 18409  ","Min.   : 18409  ","Min.   : 18409  ","Min.   : 18409  ","Min.   : 18409  ","Min.   : 18409  ","Min.   : 18409  ","Min.   : 18409  ","Min.   : 18409  "
"1815","Kelly2","1st Qu.:10264  ","1st Qu.:2012-09-07 15:00:00  ","1st Qu.:2012-09-07  ","FRA D2 : 1526  ","1st Qu.: 79710  ","1st Qu.: 79710  ","1st Qu.: 79710  ","1st Qu.: 79710  ","1st Qu.: 79710  ","1st Qu.: 79710  ","1st Qu.: 79710  ","1st Qu.: 79710  ","1st Qu.: 79710  ","1st Qu.: 79710  ","1st Qu.: 79710  ","1st Qu.: 79710  ","1st Qu.: 79710  ","1st Qu.: 79710  ","1st Qu.: 79710  ","1st Qu.: 79710  ","1st Qu.: 79710  ","1st Qu.: 79710  ","1st Qu.: 79710  "
"1816","Kelly2","Median :20528  ","Median :2013-09-21 10:00:00  ","Median :2013-09-21  ","GER D1 : 1464  ","Median :110418  ","Median :110418  ","Median :110418  ","Median :110418  ","Median :110418  ","Median :110418  ","Median :110418  ","Median :110418  ","Median :110418  ","Median :110418  ","Median :110418  ","Median :110418  ","Median :110418  ","Median :110418  ","Median :110418  ","Median :110418  ","Median :110418  ","Median :110418  ","Median :110418  "
"1817","Kelly2","Mean   :20528  ","Mean   :2013-08-06 03:16:01  ","Mean   :2013-08-05  ","ITA D1 : 1412  ","Mean   :110322  ","Mean   :110322  ","Mean   :110322  ","Mean   :110322  ","Mean   :110322  ","Mean   :110322  ","Mean   :110322  ","Mean   :110322  ","Mean   :110322  ","Mean   :110322  ","Mean   :110322  ","Mean   :110322  ","Mean   :110322  ","Mean   :110322  ","Mean   :110322  ","Mean   :110322  ","Mean   :110322  ","Mean   :110322  ","Mean   :110322  "
"1818","Kelly2","3rd Qu.:30792  ","3rd Qu.:2014-09-18 15:05:00  ","3rd Qu.:2014-09-18  ","SPA D1 : 1331  ","3rd Qu.:144136  ","3rd Qu.:144136  ","3rd Qu.:144136  ","3rd Qu.:144136  ","3rd Qu.:144136  ","3rd Qu.:144136  ","3rd Qu.:144136  ","3rd Qu.:144136  ","3rd Qu.:144136  ","3rd Qu.:144136  ","3rd Qu.:144136  ","3rd Qu.:144136  ","3rd Qu.:144136  ","3rd Qu.:144136  ","3rd Qu.:144136  ","3rd Qu.:144136  ","3rd Qu.:144136  ","3rd Qu.:144136  ","3rd Qu.:144136  "
"1819","Kelly2","Max.   :41055  ","Max.   :2015-07-19 19:45:00  ","Max.   :2015-07-19  ","FRA D1 : 1256  ","Max.   :193591  ","Max.   :193591  ","Max.   :193591  ","Max.   :193591  ","Max.   :193591  ","Max.   :193591  ","Max.   :193591  ","Max.   :193591  ","Max.   :193591  ","Max.   :193591  ","Max.   :193591  ","Max.   :193591  ","Max.   :193591  ","Max.   :193591  ","Max.   :193591  ","Max.   :193591  ","Max.   :193591  ","Max.   :193591  ","Max.   :193591  "
"1820","Kelly2",NA,NA,NA,"(Other):32136  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1821","Kelly3","Min.   :    1  ","Min.   :2011-01-07 14:45:00  ","Min.   :2011-01-07  ","ENG PR : 1930  ","Min.   : 18410  ","Min.   : 18410  ","Min.   : 18410  ","Min.   : 18410  ","Min.   : 18410  ","Min.   : 18410  ","Min.   : 18410  ","Min.   : 18410  ","Min.   : 18410  ","Min.   : 18410  ","Min.   : 18410  ","Min.   : 18410  ","Min.   : 18410  ","Min.   : 18410  ","Min.   : 18410  ","Min.   : 18410  ","Min.   : 18410  ","Min.   : 18410  ","Min.   : 18410  "
