"",".id","X......id","X....TimeUS","X....DateUS","X....League","netEMEdge.Open","PropHKPriceEdge.Open","PropnetProbBEdge.Open","KProbHKPrice.Open","KProbnetProbB.Open","KProbFixed.Open","KProbFixednetProbB.Open","X.KEMProb.Open","KEMProbnetProbB.Open","KProbHalf.Open","KProbHalfnetProbB.Open","KProbQuarter.Open","KProbQuarternetProbB.Open","KProbAdj.Open","KProbAdjnetProbB.Open","KHalfAdj.Open","KHalfAdjnetProbB.Open","KEMQuarterAdj.Open","KEMQuarterAdjnetProbB.Open"
"11","Kelly1","Mean   :20528  ","Mean   :2013-08-06 03:16:01  ","Mean   :2013-08-05  ","ITA D1 : 1412  ","Mean   :24645  ","Mean   :7412  ","Mean   :7473  ","Mean   :5631  ","Mean   :5664  ","Mean   :5056  ","Mean   :5064  ","Mean   :5631  ","Mean   :5664  ","Mean   :4810  ","Mean   :4797  ","Mean   :4779  ","Mean   :4779  ","Mean   :5056  ","Mean   :5064  ","Mean   :4842  ","Mean   :4849  ","Mean   :4794  ","Mean   :4797  "
"12","Kelly1","3rd Qu.:30792  ","3rd Qu.:2014-09-18 15:05:00  ","3rd Qu.:2014-09-18  ","SPA D1 : 1331  ","3rd Qu.:32474  ","3rd Qu.:8648  ","3rd Qu.:8735  ","3rd Qu.:6028  ","3rd Qu.:6079  ","3rd Qu.:5187  ","3rd Qu.:5202  ","3rd Qu.:6028  ","3rd Qu.:6079  ","3rd Qu.:4826  ","3rd Qu.:4806  ","3rd Qu.:4779  ","3rd Qu.:4779  ","3rd Qu.:5187  ","3rd Qu.:5202  ","3rd Qu.:4872  ","3rd Qu.:4883  ","3rd Qu.:4801  ","3rd Qu.:4807  "
"13","Kelly1","Max.   :41055  ","Max.   :2015-07-19 19:45:00  ","Max.   :2015-07-19  ","FRA D1 : 1256  ","Max.   :43489  ","Max.   :9782  ","Max.   :9931  ","Max.   :6401  ","Max.   :6473  ","Max.   :5298  ","Max.   :5312  ","Max.   :6401  ","Max.   :6473  ","Max.   :4847  ","Max.   :4812  ","Max.   :4779  ","Max.   :4779  ","Max.   :5298  ","Max.   :5312  ","Max.   :4897  ","Max.   :4909  ","Max.   :4807  ","Max.   :4813  "
"14","Kelly1",NA,NA,NA,"(Other):32136  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Kelly1","Min.   :    1  ","Min.   :2011-01-07 14:45:00  ","Min.   :2011-01-07  ","ENG PR : 1930  ","Min.   :15188  ","Min.   :     1  ","Min.   :     1.37  ","Min.   :15192  ","Min.   :15192  ","Min.   :15192  ","Min.   :15192  ","Min.   :19943  ","Min.   :19943  ","Min.   :18784  ","Min.   :18784  ","Min.   :19683  ","Min.   :19683  ","Min.   :15192  ","Min.   :15192  ","Min.   :19398  ","Min.   :19380  ","Min.   :19898  ","Min.   :19891  "
"16","Kelly1","1st Qu.:10264  ","1st Qu.:2012-09-07 15:00:00  ","1st Qu.:2012-09-07  ","FRA D2 : 1526  ","1st Qu.:33006  ","1st Qu.: 76993  ","1st Qu.: 76983.76  ","1st Qu.:33478  ","1st Qu.:33478  ","1st Qu.:33478  ","1st Qu.:33478  ","1st Qu.:20481  ","1st Qu.:20481  ","1st Qu.:23080  ","1st Qu.:23084  ","1st Qu.:20476  ","1st Qu.:20490  ","1st Qu.:33478  ","1st Qu.:33478  ","1st Qu.:21580  ","1st Qu.:21652  ","1st Qu.:20162  ","1st Qu.:20188  "
"17","Kelly1","Median :20528  ","Median :2013-09-21 10:00:00  ","Median :2013-09-21  ","GER D1 : 1464  ","Median :39850  ","Median :107834  ","Median :107825.88  ","Median :40863  ","Median :40863  ","Median :40863  ","Median :40863  ","Median :20782  ","Median :20782  ","Median :24788  ","Median :24791  ","Median :20726  ","Median :20749  ","Median :40863  ","Median :40863  ","Median :22386  ","Median :22425  ","Median :20251  ","Median :20273  "
"18","Kelly1","Mean   :20528  ","Mean   :2013-08-06 03:16:01  ","Mean   :2013-08-05  ","ITA D1 : 1412  ","Mean   :39832  ","Mean   :107919  ","Mean   :107912.58  ","Mean   :40816  ","Mean   :40816  ","Mean   :40816  ","Mean   :40816  ","Mean   :20799  ","Mean   :20799  ","Mean   :24752  ","Mean   :24757  ","Mean   :20708  ","Mean   :20733  ","Mean   :40816  ","Mean   :40816  ","Mean   :22380  ","Mean   :22427  ","Mean   :20251  ","Mean   :20274  "
"19","Kelly1","3rd Qu.:30792  ","3rd Qu.:2014-09-18 15:05:00  ","3rd Qu.:2014-09-18  ","SPA D1 : 1331  ","3rd Qu.:47661  ","3rd Qu.:142900  ","3rd Qu.:142884.20  ","3rd Qu.:49059  ","3rd Qu.:49059  ","3rd Qu.:49059  ","3rd Qu.:49059  ","3rd Qu.:21196  ","3rd Qu.:21196  ","3rd Qu.:26610  ","3rd Qu.:26618  ","3rd Qu.:20968  ","3rd Qu.:21003  ","3rd Qu.:49059  ","3rd Qu.:49059  ","3rd Qu.:23300  ","3rd Qu.:23337  ","3rd Qu.:20356  ","3rd Qu.:20382  "
"20","Kelly1","Max.   :41055  ","Max.   :2015-07-19 19:45:00  ","Max.   :2015-07-19  ","FRA D1 : 1256  ","Max.   :58676  ","Max.   :191893  ","Max.   :191896.17  ","Max.   :60822  ","Max.   :60822  ","Max.   :60822  ","Max.   :60822  ","Max.   :21544  ","Max.   :21544  ","Max.   :29379  ","Max.   :29385  ","Max.   :21482  ","Max.   :21524  ","Max.   :60822  ","Max.   :60822  ","Max.   :24670  ","Max.   :24756  ","Max.   :20520  ","Max.   :20565  "
"21","Kelly1",NA,NA,NA,"(Other):32136  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Kelly2","Min.   :    1  ","Min.   :2011-01-07 14:45:00  ","Min.   :2011-01-07  ","ENG PR : 1930  ","Min.   :15188  ","Min.   :     1  ","Min.   :     1.37  ","Min.   :15192  ","Min.   :15192  ","Min.   :15192  ","Min.   :15192  ","Min.   :19943  ","Min.   :19943  ","Min.   :18784  ","Min.   :18784  ","Min.   :19683  ","Min.   :19683  ","Min.   :15192  ","Min.   :15192  ","Min.   :19398  ","Min.   :19380  ","Min.   :19898  ","Min.   :19891  "
"23","Kelly2","1st Qu.:10264  ","1st Qu.:2012-09-07 15:00:00  ","1st Qu.:2012-09-07  ","FRA D2 : 1526  ","1st Qu.:33006  ","1st Qu.: 76993  ","1st Qu.: 76983.76  ","1st Qu.:33478  ","1st Qu.:33478  ","1st Qu.:33478  ","1st Qu.:33478  ","1st Qu.:20481  ","1st Qu.:20481  ","1st Qu.:23080  ","1st Qu.:23084  ","1st Qu.:20476  ","1st Qu.:20490  ","1st Qu.:33478  ","1st Qu.:33478  ","1st Qu.:21580  ","1st Qu.:21652  ","1st Qu.:20162  ","1st Qu.:20188  "
"24","Kelly2","Median :20528  ","Median :2013-09-21 10:00:00  ","Median :2013-09-21  ","GER D1 : 1464  ","Median :39850  ","Median :107834  ","Median :107825.88  ","Median :40863  ","Median :40863  ","Median :40863  ","Median :40863  ","Median :20782  ","Median :20782  ","Median :24788  ","Median :24791  ","Median :20726  ","Median :20749  ","Median :40863  ","Median :40863  ","Median :22386  ","Median :22425  ","Median :20251  ","Median :20273  "
"25","Kelly2","Mean   :20528  ","Mean   :2013-08-06 03:16:01  ","Mean   :2013-08-05  ","ITA D1 : 1412  ","Mean   :39832  ","Mean   :107919  ","Mean   :107912.58  ","Mean   :40816  ","Mean   :40816  ","Mean   :40816  ","Mean   :40816  ","Mean   :20799  ","Mean   :20799  ","Mean   :24752  ","Mean   :24757  ","Mean   :20708  ","Mean   :20733  ","Mean   :40816  ","Mean   :40816  ","Mean   :22380  ","Mean   :22427  ","Mean   :20251  ","Mean   :20274  "
"26","Kelly2","3rd Qu.:30792  ","3rd Qu.:2014-09-18 15:05:00  ","3rd Qu.:2014-09-18  ","SPA D1 : 1331  ","3rd Qu.:47661  ","3rd Qu.:142900  ","3rd Qu.:142884.20  ","3rd Qu.:49059  ","3rd Qu.:49059  ","3rd Qu.:49059  ","3rd Qu.:49059  ","3rd Qu.:21196  ","3rd Qu.:21196  ","3rd Qu.:26610  ","3rd Qu.:26618  ","3rd Qu.:20968  ","3rd Qu.:21003  ","3rd Qu.:49059  ","3rd Qu.:49059  ","3rd Qu.:23300  ","3rd Qu.:23337  ","3rd Qu.:20356  ","3rd Qu.:20382  "
"27","Kelly2","Max.   :41055  ","Max.   :2015-07-19 19:45:00  ","Max.   :2015-07-19  ","FRA D1 : 1256  ","Max.   :58676  ","Max.   :191893  ","Max.   :191896.17  ","Max.   :60822  ","Max.   :60822  ","Max.   :60822  ","Max.   :60822  ","Max.   :21544  ","Max.   :21544  ","Max.   :29379  ","Max.   :29385  ","Max.   :21482  ","Max.   :21524  ","Max.   :60822  ","Max.   :60822  ","Max.   :24670  ","Max.   :24756  ","Max.   :20520  ","Max.   :20565  "
"28","Kelly2",NA,NA,NA,"(Other):32136  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Kelly3","Min.   :    1  ","Min.   :2011-01-07 14:45:00  ","Min.   :2011-01-07  ","ENG PR : 1930  ","Min.   :15188  ","Min.   :     1  ","Min.   :     1.37  ","Min.   :15192  ","Min.   :15192  ","Min.   :15192  ","Min.   :15192  ","Min.   :19943  ","Min.   :19943  ","Min.   :18784  ","Min.   :18784  ","Min.   :19683  ","Min.   :19683  ","Min.   :15192  ","Min.   :15192  ","Min.   :19398  ","Min.   :19380  ","Min.   :19898  ","Min.   :19891  "
"30","Kelly3","1st Qu.:10264  ","1st Qu.:2012-09-07 15:00:00  ","1st Qu.:2012-09-07  ","FRA D2 : 1526  ","1st Qu.:33006  ","1st Qu.: 77027  ","1st Qu.: 77019.70  ","1st Qu.:33494  ","1st Qu.:33494  ","1st Qu.:34014  ","1st Qu.:33983  ","1st Qu.:20501  ","1st Qu.:20500  ","1st Qu.:23090  ","1st Qu.:23093  ","1st Qu.:20478  ","1st Qu.:20492  ","1st Qu.:34014  ","1st Qu.:33983  ","1st Qu.:21644  ","1st Qu.:21716  ","1st Qu.:20170  ","1st Qu.:20195  "
"31","Kelly3","Median :20528  ","Median :2013-09-21 10:00:00  ","Median :2013-09-21  ","GER D1 : 1464  ","Median :39850  ","Median :107920  ","Median :107908.21  ","Median :40903  ","Median :40903  ","Median :42104  ","Median :42124  ","Median :20826  ","Median :20826  ","Median :24808  ","Median :24812  ","Median :20731  ","Median :20755  ","Median :42104  ","Median :42124  ","Median :22525  ","Median :22559  ","Median :20266  ","Median :20288  "
